Store Name,TA Site,Deal,Start Date,End Date,Store Link,Cashback Discount,Cashback Monitor Link
,,,,,,,
Guitar Center,Yes,15% Off on Qualified Items! Use code t532dx0ezxxa7,08-21-2017,08-24-2017,Open Store,6.3% with Be Frugal,Open
Office Supply,Yes,10% Off on Loose Leaf Paper!,08-21-2017,08-31-2017,Open Store,5% with Be Frugal,Open
OFF 5TH Saks Fifth Avenue,Yes,"Jeans Stock up! Buy 2, Take 15% Off! Buy 3, Take 20% Off! Use code BUYMORE",08-21-2017,08-22-2017,Open Store,10% with Be Frugal,Open
USA DAWGS,Yes,70% off ALL Summer Footwear with code SLASH70,08-21-2017,,Open Store,N/A,N/A
Bonton,Yes,Extra 30% Off! Use code PREVIEWFALL,08-21-2017,08-23-2017,Open Store,7% with Upromise,Open
Horse.com,Yes,Total Eclipse of the Sale! 25% Off + $2.99 Shipping over $69!,08-21-2017,08-26-2017,Open Store,8% with Mr. Rebates,Open
Sierra Trading Post,Yes,Free Shipping on $50+,08-21-2017,08-22-2017,Open Store,8% with Active Junky,Open
Oriental Trading,Yes,Free Shipping on Any Order!,08-21-2017,08-22-2017,Open Store,5% with Upromise,Open
Joann,Yes,50% Off any one regular-priced Item. Use code FSMF235,08-21-2017,08-23-2017,Open Store,5% with Upromise,Open
Pharmaca,Yes,Save 20%! Use code AUGUST,08-21-2017,08-23-2017,Open Store,9% with ExtraBux,Open
Belk,Yes,$10 Off on $50+ Regular & Sale Purchase.,08-21-2017,08-22-2017,Open Store,5% with Upromise,Open
Steep&Cheap,Yes,Up to 90% Semiannual Sale!,08-21-2017,,Open Store,4% with Mr. Rebates,Open
Sportsman's Guide,Yes,Save up tp 22% on Featured Firearm! Plus Free Shipping on $49+ w/ code SH2191,08-21-2017,,Open Store,5% with Extra Rebates,Open
EMS,Yes,20% Off any 1 item. Plus Clearance up to 70% Off!,08-21-2017,,Open Store,10% with Active Junky,Open
Bed Bath & Beyond,Yes,20% Off any 1 item.,08-21-2017,09-10-2017,Open Store,6% with Giving Assistant,Open
World Market,Yes,Sale on All Living Room Furniture,08-21-2017,,Open Store,8% withBe Frugal,Open
Walter Drake,Yes,Up to 85% Clearance,08-21-2017,08-22-2017,Open Store,12% with Be Frugal,Open
HSN,Yes,Up tp 50% Daily Beauty Steals!,08-21-2017,,Open Store,5% with Upromise,Open
Crocs,Yes,50% Off!,08-21-2017,,Open Store,10% with Be Frugal,Open
The Vitamin Shoppe,Yes,20% Off Entire Purchase! Use code 2CP59YLR,08-22-2017,,Open Store,10% with Top Cashback,Open
Wilsons Leather,Yes,Extra 30% Off!,08-22-2017,08-27-2017,Open Store,7% with Be Frugal,Open
,,10% Off Barlean's Fish Oil and More! Use code 10BARLEAN,,,Open Store,9% with Top Cashback,Open
,,,,,Open Store,9% with Top Cashback,Open
,,,,,Open Store,9% with Top Cashback,Open
,,,,,Open Store,9% with Top Cashback,Open
,,,,,Open Store,9% with Top Cashback,Open
,,,,,Open Store,9% with Top Cashback,Open
,,,,,Open Store,9% with Top Cashback,Open
,,,,,Open Store,9% with Top Cashback,Open
,,,,,Open Store,9% with Top Cashback,Open
,,,,,Open Store,9% with Top Cashback,Open
,,,,,Open Store,9% with Top Cashback,Open
,,,,,Open Store,9% with Top Cashback,Open
,,,,,Open Store,9% with Top Cashback,Open
,,,,,Open Store,9% with Top Cashback,Open
,,,,,Open Store,9% with Top Cashback,Open
,,,,,Open Store,9% with Top Cashback,Open
