url,name,full name,items,ta pages
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/FashionJewelry.jsp,Fashion Jewelry,Shop  /  Women  /  Fashion Jewelry,7397,370
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/FashionJewelry/AllFashionJewelry.jsp,All Fashion Jewelry,Shop  /  Jewelry & Watches  /  All Fashion Jewelry,7157,358
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/FineJewelry.jsp,« Back to Fine Jewelry,Shop  /  Jewelry & Watches  /  All Fine Jewelry  /  « Back to Fine Jewelry,6138,307
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/FineJewelry/AllFineJewelry.jsp,All Fine Jewelry,Shop  /  Jewelry & Watches  /  All Fine Jewelry,6110,306
http://www.belk.com/AST/Main/Belk_Primary/Shoes/Shop/Womens.jsp,Shoes,Shop  /  Women  /  Shoes,5533,277
http://www.belk.com/AST/Main/Belk_Primary/Shoes/Shop/Womens/AllWomensShoes.jsp,All Women's Shoes,Shop  /  Shoes  /  All Women's Shoes,5423,272
http://www.belk.com/AST/Main/Belk_Primary/Men/Shop/Accessories.jsp,Accessories,Shop  /  Men  /  Accessories,4540,227
http://www.belk.com/AST/Main/Belk_Primary/For_the_Home/Shop/HomeDecor.jsp,Home Decor,Shop  /  For the Home  /  Home Decor,4034,202
http://www.belk.com/AST/Main/Belk_Primary/For_the_Home/Shop/Kitchen.jsp,Kitchen,Shop  /  For the Home  /  Kitchen,3919,196
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/FineJewelry/Birthstones.jsp,Birthstones,Shop  /  Jewelry & Watches  /  Birthstones,3906,196
http://www.belk.com/AST/Main/Belk_Primary/For_the_Home/Shop/Dining_Entertaining.jsp,Dining & Entertaining,Shop  /  For the Home  /  Dining & Entertaining,3510,176
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/Watches.jsp,« Back to Watches,Shop  /  Women  /  Watches  /  « Back to Watches,3145,158
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/FashionJewelry/Earrings.jsp,Earrings,Shop  /  Jewelry & Watches  /  Earrings,3134,157
http://www.belk.com/AST/Main/Belk_Primary/Men/Shop/SportsFan.jsp,Sports Fan,Shop  /  Men  /  Sports Fan,2814,141
http://www.belk.com/AST/Main/Belk_Primary/BedBath/Featured_Shop/Gifts.jsp,Gifts for All,Shop  /  Bed & Bath  /  Gifts for All,2793,140
http://www.belk.com/AST/Main/Belk_Primary/For_the_Home/Featured_Shop/Gifts.jsp,Gifts,Shop  /  For the Home  /  Gifts,2783,140
http://www.belk.com/AST/Main/Belk_Primary/Women/Shop/Designer.jsp,Designer,Shop  /  Women  /  Designer,2656,133
http://www.belk.com/AST/Main/Belk_Primary/Shoes/Featured_Shop/OnlineExclusives.jsp,Online Exclusives,Shop  /  Shoes  /  Online Exclusives,2571,129
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Featured_Shop/DesignerJewelryandWatches.jsp,Designer Jewelry & Watches,Shop  /  Jewelry & Watches  /  Designer Jewelry & Watches,2509,126
http://www.belk.com/AST/Main/Belk_Primary/Handbags_And_Accessories/Shop/HandbagsWallets.jsp,« Back to Handbags & Wallets,Shop  /  Women  /  Handbags  /  « Back to Handbags & Wallets,2460,123
http://www.belk.com/AST/Main/Belk_Primary/Women/Shop/Tops_Tees.jsp,Tops,Shop  /  Women  /  Tops,2443,123
http://www.belk.com/AST/Main/Belk_Primary/Handbags_And_Accessories/Shop/HandbagsWallets/ShopAllHandbags.jsp,Handbags,Shop  /  Women  /  Handbags,2355,118
http://www.belk.com/AST/Main/Belk_Primary/Young_Mens/Shop/SportsFan.jsp,Sports Fan,Shop  /  Men  /  Young Men's  /  Sports Fan,2174,109
http://www.belk.com/AST/Main/Belk_Primary/Men/Shop/SportsFan/NCAA.jsp,NCAA,Shop  /  Men  /  Sports Fan  /  NCAA,2140,107
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/FineJewelry/Necklaces.jsp,Necklaces & Pendants,Shop  /  Jewelry & Watches  /  Necklaces & Pendants,2115,106
http://www.belk.com/AST/Main/Belk_Primary/For_the_Home/Shop/MoreFortheHome.jsp,More For the Home,Shop  /  For the Home  /  More For the Home,2076,104
http://www.belk.com/AST/Main/Belk_Primary/Kids/Shop/Babies.jsp,« Back to Baby,Shop  /  Kids  /  Nursery & Decor  /  « Back to Baby,2060,103
http://www.belk.com/AST/Main/Belk_Primary/Kids/Shop/Girls.jsp,« Back to Girls,Shop  /  Kids  /  Accessories  /  « Back to Girls,2052,103
http://www.belk.com/AST/Main/Belk_Primary/Young_Mens/Shop/Accessories.jsp,Accessories,Shop  /  Men  /  Young Men's  /  Accessories,2036,102
