category_id,true_id,url,name,full_name,Items,pages
cat-36-catid-400004,400004,http://www.petsmart.com/bird/live-birds/cat-36-catid-400004,Live Birds,Home  /  Bird  /  Featured Shops  /  Live Birds,6,1
cat-36-catid-400005,400005,http://www.petsmart.com/bird/food/cat-36-catid-400005,Food,Home  /  Bird  /  Food & Care  /  Food,104,5
cat-36-catid-400021,400021,http://www.petsmart.com/bird/bath-sprays/cat-36-catid-400021,Bath Sprays,Home  /  Bird  /  Food & Care  /  Grooming  /  Bath Sprays,3,1
cat-36-catid-400023,400023,http://www.petsmart.com/bird/beak-buffers-trimmers/cat-36-catid-400023,Beak Buffers & Trimmers,Home  /  Bird  /  Food & Care  /  Grooming  /  Beak Buffers & Trimmers,7,1
cat-36-catid-400020,400020,http://www.petsmart.com/bird/bird-baths/cat-36-catid-400020,Bird Baths,Home  /  Bird  /  Food & Care  /  Grooming  /  Bird Baths,4,1
cat-36-catid-400022,400022,http://www.petsmart.com/bird/nail-trimmers/cat-36-catid-400022,Nail Trimmers,Home  /  Bird  /  Food & Care  /  Grooming  /  Nail Trimmers,1,1
cat-36-catid-400024,400024,http://www.petsmart.com/bird/first-aid/cat-36-catid-400024,First Aid,Home  /  Bird  /  Food & Care  /  Health Care  /  First Aid,1,1
cat-36-catid-400026,400026,http://www.petsmart.com/bird/lice-mite-prevention/cat-36-catid-400026,Lice & Mite Prevention,Home  /  Bird  /  Food & Care  /  Health Care  /  Lice & Mite Prevention,2,1
cat-36-catid-400027,400027,http://www.petsmart.com/bird/skin-plumage-care/cat-36-catid-400027,Skin & Plumage Care,Home  /  Bird  /  Food & Care  /  Health Care  /  Skin & Plumage Care,2,1
cat-36-catid-400025,400025,http://www.petsmart.com/bird/vitamins-supplements/cat-36-catid-400025,Vitamins & Supplements,Home  /  Bird  /  Food & Care  /  Health Care  /  Vitamins & Supplements,5,1
cat-36-catid-400057,400057,http://www.petsmart.com/bird/treat-holders/cat-36-catid-400057,Treat Holders,Home  /  Bird  /  Food & Care  /  Treats & Treat Holders  /  Treat Holders,3,1
cat-36-catid-400056,400056,http://www.petsmart.com/bird/treats/cat-36-catid-400056,Treats,Home  /  Bird  /  Food & Care  /  Treats & Treat Holders  /  Treats,61,3
cat-36-catid-400049,400049,http://www.petsmart.com/bird/cups/cat-36-catid-400049,Cups,Home  /  Bird  /  Supplies  /  Bowls & Feeders  /  Cups,7,1
cat-36-catid-400047,400047,http://www.petsmart.com/bird/feeders/cat-36-catid-400047,Feeders,Home  /  Bird  /  Supplies  /  Bowls & Feeders  /  Feeders,14,1
cat-36-catid-400048,400048,http://www.petsmart.com/bird/water-bottles/cat-36-catid-400048,Water Bottles,Home  /  Bird  /  Supplies  /  Bowls & Feeders  /  Water Bottles,5,1
cat-36-catid-400032,400032,http://www.petsmart.com/bird/cage-covers/cat-36-catid-400032,Cage Covers,Home  /  Bird  /  Supplies  /  Cages & Stands  /  Cage Covers,3,1
cat-36-catid-400029,400029,http://www.petsmart.com/bird/cages/cat-36-catid-400029,Cages,Home  /  Bird  /  Supplies  /  Cages & Stands  /  Cages,76,4
cat-36-catid-400030,400030,http://www.petsmart.com/bird/stands/cat-36-catid-400030,Stands,Home  /  Bird  /  Supplies  /  Cages & Stands  /  Stands,9,1
cat-36-catid-400031,400031,http://www.petsmart.com/bird/travel-carriers/cat-36-catid-400031,Travel Carriers,Home  /  Bird  /  Supplies  /  Cages & Stands  /  Travel Carriers,2,1
cat-36-catid-400011,400011,http://www.petsmart.com/bird/coops-outdoor-habitats/cat-36-catid-400011,Coops & Outdoor Habitats,Home  /  Bird  /  Supplies  /  Coops & Outdoor Habitats,14,1
cat-36-catid-400039,400039,http://www.petsmart.com/bird/bedding/cat-36-catid-400039,Bedding,Home  /  Bird  /  Supplies  /  Litter & Bedding  /  Bedding,4,1
