CategoryId,Category Name,Total Products,Number of API Pages ,Direct Link
1072864_1031899_1067609,Home Improvement/Tools/Hand Tools,92384,924,http://www.walmart.com/browse/1072864_1031899_1067609
4044_133012_110892,Home/Decor/Rugs,90564,906,http://www.walmart.com/browse/4044_133012_110892
1072864_1031899_1066925,Home Improvement/Tools/Power Tools,64052,641,http://www.walmart.com/browse/1072864_1031899_1066925
4044_103150_97116,Home/Furniture/Office Furniture,56688,567,http://www.walmart.com/browse/4044_103150_97116
3944_3951_132959,Electronics/Computers/Computer Accessories,50340,504,http://www.walmart.com/browse/3944_3951_132959
1072864_1067612_1230784,Home Improvement/Hardware/Cabinet Hardware,45735,457,http://www.walmart.com/browse/1072864_1067612_1230784
3944_3951_37807,Electronics/Computers/Printers & Supplies,42346,424,http://www.walmart.com/browse/3944_3951_37807
1072864_1045879_1230835,Home Improvement/Bathroom Renovation/Bathroom Plumbing,38325,383,http://www.walmart.com/browse/1072864_1045879_1230835
1072864_1045879_1230843,Home Improvement/Bathroom Renovation/Bathroom Fixtures and Materials,38279,383,http://www.walmart.com/browse/1072864_1045879_1230843
5438_133197_1228779,Clothing/Men/Men's Tops & T-Shirts,36165,362,http://www.walmart.com/browse/5438_133197_1228779
1105910_133161_132890,Cell Phones/Accessories/Cases & Protectors,34171,342,http://www.walmart.com/browse/1105910_133161_132890
4044_539103_127715,Home/Bedding/Decorative Pillows,30997,310,http://www.walmart.com/browse/4044_539103_127715
3891_1228254_1228257,Jewelry/Fine Jewelry/Fine Pendants & Necklaces,30977,310,http://www.walmart.com/browse/3891_1228254_1228257
3944_1060825_133270,Electronics/TV & Video/TV Accessories,27877,279,http://www.walmart.com/browse/3944_1060825_133270
1229749_1070964_130472,Office/Office Technology/Projectors & Presentation Equipment,27823,278,http://www.walmart.com/browse/1229749_1070964_130472
1072864_1067612_1067614,Home Improvement/Hardware/Fasteners,27678,277,http://www.walmart.com/browse/1072864_1067612_1067614
4044_133012_133113,Home/Decor/Lighting & Light Fixtures,26715,267,http://www.walmart.com/browse/4044_133012_133113
1229749_1046059_1065166,Office/Office Supplies/Boards & Easels,26177,262,http://www.walmart.com/browse/1229749_1046059_1065166
1072864_1230395_1044263,Home Improvement/Work Safety Clothing and Equipment/Safety Equipment & Gear,24407,244,http://www.walmart.com/browse/1072864_1230395_1044263
