category,start page,last page,full_name - you must delete this column before uploading!!!
http://www.petsmart.com/bird/live-birds/cat-36-catid-400004,1,1,Home  /  Bird  /  Featured Shops  /  Live Birds
http://www.petsmart.com/bird/food/cat-36-catid-400005,1,5,Home  /  Bird  /  Food & Care  /  Food
http://www.petsmart.com/bird/bath-sprays/cat-36-catid-400021,1,1,Home  /  Bird  /  Food & Care  /  Grooming  /  Bath Sprays
http://www.petsmart.com/bird/beak-buffers-trimmers/cat-36-catid-400023,1,1,Home  /  Bird  /  Food & Care  /  Grooming  /  Beak Buffers & Trimmers
http://www.petsmart.com/bird/bird-baths/cat-36-catid-400020,1,1,Home  /  Bird  /  Food & Care  /  Grooming  /  Bird Baths
http://www.petsmart.com/bird/nail-trimmers/cat-36-catid-400022,1,1,Home  /  Bird  /  Food & Care  /  Grooming  /  Nail Trimmers
http://www.petsmart.com/bird/first-aid/cat-36-catid-400024,1,1,Home  /  Bird  /  Food & Care  /  Health Care  /  First Aid
http://www.petsmart.com/bird/lice-mite-prevention/cat-36-catid-400026,1,1,Home  /  Bird  /  Food & Care  /  Health Care  /  Lice & Mite Prevention
http://www.petsmart.com/bird/skin-plumage-care/cat-36-catid-400027,1,1,Home  /  Bird  /  Food & Care  /  Health Care  /  Skin & Plumage Care
http://www.petsmart.com/bird/vitamins-supplements/cat-36-catid-400025,1,1,Home  /  Bird  /  Food & Care  /  Health Care  /  Vitamins & Supplements
http://www.petsmart.com/bird/treat-holders/cat-36-catid-400057,1,1,Home  /  Bird  /  Food & Care  /  Treats & Treat Holders  /  Treat Holders
http://www.petsmart.com/bird/treats/cat-36-catid-400056,1,3,Home  /  Bird  /  Food & Care  /  Treats & Treat Holders  /  Treats
http://www.petsmart.com/bird/cups/cat-36-catid-400049,1,1,Home  /  Bird  /  Supplies  /  Bowls & Feeders  /  Cups
http://www.petsmart.com/bird/feeders/cat-36-catid-400047,1,1,Home  /  Bird  /  Supplies  /  Bowls & Feeders  /  Feeders
http://www.petsmart.com/bird/water-bottles/cat-36-catid-400048,1,1,Home  /  Bird  /  Supplies  /  Bowls & Feeders  /  Water Bottles
http://www.petsmart.com/bird/cage-covers/cat-36-catid-400032,1,1,Home  /  Bird  /  Supplies  /  Cages & Stands  /  Cage Covers
http://www.petsmart.com/bird/cages/cat-36-catid-400029,1,4,Home  /  Bird  /  Supplies  /  Cages & Stands  /  Cages
http://www.petsmart.com/bird/stands/cat-36-catid-400030,1,1,Home  /  Bird  /  Supplies  /  Cages & Stands  /  Stands
http://www.petsmart.com/bird/travel-carriers/cat-36-catid-400031,1,1,Home  /  Bird  /  Supplies  /  Cages & Stands  /  Travel Carriers
http://www.petsmart.com/bird/coops-outdoor-habitats/cat-36-catid-400011,1,1,Home  /  Bird  /  Supplies  /  Coops & Outdoor Habitats
http://www.petsmart.com/bird/bedding/cat-36-catid-400039,1,1,Home  /  Bird  /  Supplies  /  Litter & Bedding  /  Bedding
http://www.petsmart.com/bird/cage-liners/cat-36-catid-400100,1,1,Home  /  Bird  /  Supplies  /  Litter & Bedding  /  Cage Liners
http://www.petsmart.com/bird/litter/cat-36-catid-400040,1,1,Home  /  Bird  /  Supplies  /  Litter & Bedding  /  Litter
http://www.petsmart.com/bird/brushes-scrubbers/cat-36-catid-400045,1,1,Home  /  Bird  /  Supplies  /  Stain & Odor Removers  /  Brushes & Scrubbers
http://www.petsmart.com/bird/cage-liners/cat-36-catid-400046,1,1,Home  /  Bird  /  Supplies  /  Stain & Odor Removers  /  Cage Liners
http://www.petsmart.com/bird/deodorizers/cat-36-catid-400043,1,1,Home  /  Bird  /  Supplies  /  Stain & Odor Removers  /  Deodorizers
http://www.petsmart.com/bird/seed-guards/cat-36-catid-400041,1,1,Home  /  Bird  /  Supplies  /  Stain & Odor Removers  /  Seed Guards
http://www.petsmart.com/bird/waste-disposal/cat-36-catid-400044,1,1,Home  /  Bird  /  Supplies  /  Stain & Odor Removers  /  Waste Disposal
http://www.petsmart.com/bird/ladders/cat-36-catid-400033,1,1,"Home  /  Bird  /  Supplies  /  Toys, Perches & Decor  /  Ladders"
http://www.petsmart.com/bird/mirrors/cat-36-catid-400034,1,1,"Home  /  Bird  /  Supplies  /  Toys, Perches & Decor  /  Mirrors"
http://www.petsmart.com/bird/nesting/cat-36-catid-400035,1,1,"Home  /  Bird  /  Supplies  /  Toys, Perches & Decor  /  Nesting"
http://www.petsmart.com/bird/perches/cat-36-catid-400036,1,2,"Home  /  Bird  /  Supplies  /  Toys, Perches & Decor  /  Perches"
http://www.petsmart.com/bird/swings/cat-36-catid-400037,1,1,"Home  /  Bird  /  Supplies  /  Toys, Perches & Decor  /  Swings"
http://www.petsmart.com/bird/toys/cat-36-catid-400038,1,5,"Home  /  Bird  /  Supplies  /  Toys, Perches & Decor  /  Toys"
http://www.petsmart.com/bird/feeders/cat-36-catid-400050,1,1,Home  /  Bird  /  Supplies  /  Wild Birds  /  Feeders
http://www.petsmart.com/bird/food/cat-36-catid-400051,1,2,Home  /  Bird  /  Supplies  /  Wild Birds  /  Food
http://www.petsmart.com/cat/clothing-accessories/cat-36-catid-200108,1,1,Home  /  Cat  /  Featured Shops  /  Gifts for Cat Lovers  /  Clothing & Accessories
http://www.petsmart.com/cat/housewares/cat-36-catid-200109,1,1,Home  /  Cat  /  Featured Shops  /  Gifts for Cat Lovers  /  Housewares
http://www.petsmart.com/cat/breath-fresheners/cat-36-catid-200033,1,1,Home  /  Cat  /  Food & Health  /  Dental Care  /  Breath Fresheners
http://www.petsmart.com/cat/dental-sprays-rinses/cat-36-catid-200035,1,1,Home  /  Cat  /  Food & Health  /  Dental Care  /  Dental Sprays & Rinses
http://www.petsmart.com/cat/dental-treats/cat-36-catid-200032,1,1,Home  /  Cat  /  Food & Health  /  Dental Care  /  Dental Treats
http://www.petsmart.com/cat/toothbrushes-toothpaste/cat-36-catid-200034,1,1,Home  /  Cat  /  Food & Health  /  Dental Care  /  Toothbrushes & Toothpaste
http://www.petsmart.com/cat/collars/cat-36-catid-200036,1,1,Home  /  Cat  /  Food & Health  /  Flea & Tick  /  Collars
http://www.petsmart.com/cat/combs-tools/cat-36-catid-200037,1,1,Home  /  Cat  /  Food & Health  /  Flea & Tick  /  Combs & Tools
http://www.petsmart.com/cat/home-yard-treatment/cat-36-catid-200041,1,1,Home  /  Cat  /  Food & Health  /  Flea & Tick  /  Home & Yard Treatment
http://www.petsmart.com/cat/pet-sprays/cat-36-catid-200039,1,1,Home  /  Cat  /  Food & Health  /  Flea & Tick  /  Pet Sprays
http://www.petsmart.com/cat/pills/cat-36-catid-200024,1,1,Home  /  Cat  /  Food & Health  /  Flea & Tick  /  Pills
http://www.petsmart.com/cat/shampoos-dips/cat-36-catid-200040,1,1,Home  /  Cat  /  Food & Health  /  Flea & Tick  /  Shampoos & Dips
http://www.petsmart.com/cat/spot-ons/cat-36-catid-200038,1,1,Home  /  Cat  /  Food & Health  /  Flea & Tick  /  Spot Ons
http://www.petsmart.com/cat/canned-food/cat-36-catid-200027,1,19,Home  /  Cat  /  Food & Health  /  Food  /  Canned Food
