category,start page,last page,"Category Name, you MUST delete this column!"
1072864_1031899_1067609,1,924,Home Improvement/Tools/Hand Tools
4044_133012_110892,1,906,Home/Decor/Rugs
1072864_1031899_1066925,1,641,Home Improvement/Tools/Power Tools
4044_103150_97116,1,567,Home/Furniture/Office Furniture
3944_3951_132959,1,504,Electronics/Computers/Computer Accessories
1072864_1067612_1230784,1,457,Home Improvement/Hardware/Cabinet Hardware
3944_3951_37807,1,424,Electronics/Computers/Printers & Supplies
1072864_1045879_1230835,1,383,Home Improvement/Bathroom Renovation/Bathroom Plumbing
1072864_1045879_1230843,1,383,Home Improvement/Bathroom Renovation/Bathroom Fixtures and Materials
5438_133197_1228779,1,362,Clothing/Men/Men's Tops & T-Shirts
1105910_133161_132890,1,342,Cell Phones/Accessories/Cases & Protectors
4044_539103_127715,1,310,Home/Bedding/Decorative Pillows
3891_1228254_1228257,1,310,Jewelry/Fine Jewelry/Fine Pendants & Necklaces
3944_1060825_133270,1,279,Electronics/TV & Video/TV Accessories
1229749_1070964_130472,1,278,Office/Office Technology/Projectors & Presentation Equipment
1072864_1067612_1067614,1,277,Home Improvement/Hardware/Fasteners
4044_133012_133113,1,267,Home/Decor/Lighting & Light Fixtures
1229749_1046059_1065166,1,262,Office/Office Supplies/Boards & Easels
1072864_1230395_1044263,1,244,Home Improvement/Work Safety Clothing and Equipment/Safety Equipment & Gear
4044_103150_4037,1,244,Home/Furniture/Kitchen & Dining Furniture
3944_3951_126297,1,240,Electronics/Computers/Networking
1072864_1071485_1230875,1,238,Home Improvement/Kitchen Renovation/Kitchen Fixtures and Materials
4171_1111647_132912,1,233,"Toys/Play Vehicles, Trains & Remote Control/Trains & Train Sets"
2637_615760_1088766,1,226,Party & Occasions/Halloween/All Costumes
5438_1045799_426265,1,222,Clothing/Bags & Accessories/Accessories
1072864_1067619_1228347,1,220,Home Improvement/Electrical/Light Bulbs
3891_1228254_1228256,1,219,Jewelry/Fine Jewelry/Fine Earrings
1072864_1067612_1230759,1,208,Home Improvement/Hardware/Door Hardware
1072864_1067617_1067621,1,199,Home Improvement/Paint & Home Decor/Paint Prep & Application
91083_1074784_1072104,1,196,Auto & Tires/Exterior Car Accessories/Exterior Car Decoration
4125_1063984_1063994,1,195,Sports & Outdoors/Sports Fan Shop/For the Home Fan Shop
5438_133162_1228422,1,190,Clothing/Women/Women's Tops & T-Shirts
3891_1228254_1228255,1,184,Jewelry/Fine Jewelry/Fine Rings
1072864_1031899_1067610,1,181,Home Improvement/Tools/Tool Equipment & Storage
91083_1074765_1196583,1,178,Auto & Tires/Auto Parts/Additional Auto Replacement Parts
91083_1074769_1072094,1,171,Auto & Tires/Interior Car Accessories/Car Floor Mats & Cargo Mats
1229749_1046059_1072366,1,166,Office/Office Supplies/Signs
1072864_1068865_1230761,1,163,Home Improvement/Home Security/Door Security Hardware
3891_540912_1228349,1,160,Jewelry/Wedding & Engagement/Engagement Rings
1229749_1046059_1044272,1,160,Office/Office Supplies/Adhesives & Fasteners
3891_1228263_1228265,1,158,Jewelry/Fashion Jewelry/Fashion Earrings
4044_539095_133000,1,151,Home/Bath/Bathroom Accessories
1072864_1067619_1231223,1,147,"Home Improvement/Electrical/Dimmers, Switches, and Wall Plates"
1229749_1046059_1065165,1,142,Office/Office Supplies/Shipping & Mailroom
4044_623679_1032619,1,142,Home/Kitchen & Dining/Kitchen Storage & Organization
5438_1078024,1,141,Clothing/Intimates & Sleepwear
1115193_1071966_1025741,1,140,Household Essentials/Cleaning Supplies/Cleaning Tools
3944_3951_1073804,1,140,Electronics/Computers/Computer Components
5438_133197_1228780,1,137,Clothing/Men/Men's Bottoms
3891_1228254_1228258,1,133,Jewelry/Fine Jewelry/Fine Bracelets & Charms
4125_1063984_1063985,1,132,Sports & Outdoors/Sports Fan Shop/Clothing Fan Shop
4044_539103,1,130,Home/Bedding
3944_133277_132913,1,129,Electronics/Cameras & Camcorders/Camera Accessories
4044_539103_4756,1,128,Home/Bedding/Blankets & Throws
4044_623679_133020,1,127,"Home/Kitchen & Dining/Cookware, Bakeware & Tools"
3891_1228263_1228264,1,127,Jewelry/Fashion Jewelry/Fashion Rings
1229749_1086045_1044274,1,127,Office/School Supplies/Teaching & Classroom Supplies
1229749_1046059_1065164,1,125,Office/Office Supplies/Filing & Storage
5438_1045799_1045800,1,124,Clothing/Bags & Accessories/Handbags
4044_90828_1230055,1,123,Home/Storage & Organization/Storage
4044_90828_1230059,1,123,Home/Storage & Organization/Storage Furniture
1072864_1067616_1067796,1,122,Home Improvement/Flooring/All Flooring
1229749_1086045_1091629,1,122,Office/School Supplies/School Furniture & Equipment
5438_133162_1228423,1,120,Clothing/Women/Women's Bottoms
1229749_1070964_3945,1,119,Office/Office Technology/Batteries
3891_3906_1224986,1,117,Jewelry/Watches/Men's Watches
4044_133012_672579,1,116,Home/Decor/Frames
4044_1154295_1156072,1,114,Home/Kids' Rooms/Kids' Decor
4044_133012_1043781,1,113,Home/Decor/Room Dividers
1072864_1067619_1231248,1,113,Home Improvement/Electrical/Electrical Tools
4171_1111647_433927,1,113,"Toys/Play Vehicles, Trains & Remote Control/Remote Control Toys"
2637_1042319_1042327,1,112,Party & Occasions/Party Supplies/Gift Wrap & Supplies
4044_623679_639999,1,112,Home/Kitchen & Dining/Dining & Entertaining
1072864_1067616_1067778,1,110,Home Improvement/Flooring/Molding
4044_1225301_1105746,1,106,Home/Featured Shops/Entryway
4044_90828_1230061,1,105,"Home/Storage & Organization/Closet, Shoes & Jewelry Organizers"
1229749_1070964_3977,1,105,Office/Office Technology/Phones & Accessories
4044_103150_4038,1,105,Home/Furniture/Living Room Furniture
4044_1154295_1155958,1,105,Home/Kids' Rooms/Kids' Furniture
3891_540912_1228376,1,104,Jewelry/Wedding & Engagement/Wedding Bands
1072864_1230778_1230779,1,103,Home Improvement/Windows/Window Hardware
1072864_1067619_1231228,1,101,"Home Improvement/Electrical/Breakers, Distributors, and Load Centers"
1072864_1045879_1230879,1,100,Home Improvement/Bathroom Renovation/Bathroom Hardware
4171_4173_164142,1,100,"Toys/Pretend Play, Arts & Crafts for Kids/Pretend Play & Dress Up"
5438_1045804_1045806,1,97,Clothing/Shoes/Women's Shoes
3891_1228263_1228266,1,97,Jewelry/Fashion Jewelry/Fashion Pendants & Necklaces
3944_133251_96890,1,96,Electronics/Audio/Stereos
91083_1074784_1043580,1,95,Auto & Tires/Exterior Car Accessories/Trailer Hitches & Towing Equipment
4044_103150_635499,1,92,Home/Furniture/TV Stands & Entertainment Centers
5438_133199_1228786,1,92,Clothing/Boys/Boys' Tops & T-Shirts
1072864_1067617_1230534,1,91,Home Improvement/Paint & Home Decor/Wallpaper
4171_14521_132873,1,88,Toys/Outdoor Play/Swimming Pools & Waterslides
4044_90548_90546,1,88,Home/Appliances/Kitchen Appliances
1072864_133113_132914,1,87,Home Improvement/Lighting & Light Fixtures/Ceiling Fixtures
5438_584291_1228361,1,85,Clothing/Baby & Toddler/Baby & Toddler Bodysuits
5438_133201_1228777,1,84,Clothing/Juniors/Juniors Tops & T-Shirts
976760_1005860_1224839,1,83,Health/Home Health Care/Mobility Equipment Accessories
5438_133162_592996,1,83,Clothing/Women/Women's Activewear
976760_1005863_1001553,1,81,Health/Vitamins/Vitamins
3891_1228263_1228267,1,81,Jewelry/Fashion Jewelry/Fashion Bracelets & Charms
1072864_133032_1231142,1,81,"Home Improvement/Heating, Cooling, & Air Quality/Heaters"
4125_546956,1,79,Sports & Outdoors/Outdoor Sports
3944_133277_1231377,1,78,Electronics/Cameras & Camcorders/Camcorder Accessories
1115193_1071966_1072133,1,77,Household Essentials/Cleaning Supplies/All-Purpose Cleaners
4044_133012_1043827,1,77,Home/Decor/Vases
1072864_1067612_1230791,1,76,Home Improvement/Hardware/Hooks
1072864_1172176_1231291,1,74,"Home Improvement/Building Materials/Sealants, Fillers and Adhesives"
1085666_133225_1058964,1,73,Beauty/Fragrances/All Fragrances
5438_1045799_1045801,1,73,Clothing/Bags & Accessories/Backpacks & Messenger Bags
5438_133162_538874,1,73,Clothing/Women/Women's Dresses
5438_133197_592999,1,73,Clothing/Men/Men's Activewear
4044_539103_126445,1,72,Home/Bedding/Duvets & Duvet Sets
1072864_1230390_1230392,1,72,Home Improvement/Welding and Soldering/Welding Parts and Accessories
4044_133224_133134,1,72,Home/Personalized Gifts/Personalized Clothing & Accessories
4171_1111647_1044001,1,71,"Toys/Play Vehicles, Trains & Remote Control/Models & Hobby"
91083_1074769_1043577,1,71,Auto & Tires/Interior Car Accessories/Interior Car Accessories
5438_1045804_1045805,1,71,Clothing/Shoes/Baby & Kids Shoes
1105910_133161_1072308,1,70,Cell Phones/Accessories/Car Mounts
1229749_1046059_1072376,1,70,Office/Office Supplies/Office Basics
1072864_1230758_1230763,1,69,Home Improvement/Doors and Gates/Outside Decoration
91083_1074767_1043574,1,68,Auto & Tires/Auto Body Tools & Equipment/Auto Repair Tools
1115193_1071966_1072129,1,68,Household Essentials/Cleaning Supplies/Surface Care & Protection
4044_103150_102547,1,68,Home/Furniture/Bedroom Furniture
4044_133012_642059,1,68,Home/Decor/Clocks
4125_546956_1230687,1,67,Sports & Outdoors/Outdoor Sports/Emergency Prep
5427_414099,1,67,Baby/Nursery Furniture
4044_539095_533461,1,65,Home/Bath/Shower Curtains
