Category ID,Category Title,Products,Pages,Category ID
54vrs,Target / accessories / kids' accessories / boys' accessories / bags & wallets,222,4,http://www.target.com/c/bags-wallets-boys-accessories-kids/-/N-54vrs#?lnk=lnav_shop categories_1
551po,Target / accessories / kids' accessories / boys' accessories / belts,11,1,http://www.target.com/c/belts-boys-accessories-kids/-/N-551po#?lnk=lnav_shop categories_2
5xty8,Target / accessories / kids' accessories / boys' accessories / hats,121,3,http://www.target.com/c/hats-boys-accessories-kids/-/N-5xty8#?lnk=lnav_shop categories_4
4vqsx,Target / accessories / kids' accessories / boys' accessories / jewelry,23,1,http://www.target.com/c/jewelry-boys-accessories-kids/-/N-4vqsx#?lnk=lnav_shop categories_5
551pn,Target / accessories / kids' accessories / boys' accessories / sunglasses,51,1,http://www.target.com/c/sunglasses-boys-accessories-kids/-/N-551pn#?lnk=lnav_shop categories_6
5xty7,Target / accessories / kids' accessories / boys' accessories / umbrellas & ponchos,10,1,http://www.target.com/c/umbrellas-ponchos-boys-accessories-kids/-/N-5xty7#?lnk=lnav_shop categories_8
56ecc,Target / accessories / men's accessories / bags,181,4,http://www.target.com/c/bags-men-s-accessories/-/N-56ecc#?lnk=Grid_0315_MenA_0_X0Y0W4_28_3_2015%7CX0Y0W4%7CT:Template_Grid1A%7CC:CMS&intc=2360557%7Cnull
5xu2o,"Target / accessories / men's accessories / hats, scarves & gloves",145,3,http://www.target.com/c/hats-scarves-gloves-men-s-accessories/-/N-5xu2o#?lnk=ct_menu_01_69&intc=1865087|null
5xu2n,Target / accessories / men's accessories / men's jewelry,936,16,http://www.target.com/c/men-s-jewelry-accessories/-/N-5xu2n#?lnk=Grid_0315_MenA_0_X0Y0W4_28_3_2015%7CX0Y0W4%7CT:Template_Grid1A%7CC:CMS&intc=2360557%7Cnull
56ffr,Target / accessories / men's accessories / sunglasses,130,3,http://www.target.com/sb/sunglasses-men-s-accessories/-/N-56ffr#?lnk=Grid_0315_MenA_0_X0Y0W4_28_3_2015%7CX0Y0W4%7CT:Template_Grid1A%7CC:CMS&intc=2360557%7Cnull
5xu2j,Target / accessories / men's accessories / ties,92,2,http://www.target.com/c/ties-men-s-accessories/-/N-5xu2j#?lnk=Grid_0315_MenA_0_X0Y0W4_28_3_2015%7CX0Y0W4%7CT:Template_Grid1A%7CC:CMS&intc=2360557%7Cnull
5xu2h,Target / accessories / men's accessories / wallets,57,1,http://www.target.com/c/wallets-men-s-accessories/-/N-5xu2h#?lnk=Grid_0315_MenA_0_X0Y0W4_28_3_2015%7CX0Y0W4%7CT:Template_Grid1A%7CC:CMS&intc=2360557%7Cnull
5xu2g,Target / accessories / men's accessories / watches,1758,30,http://www.target.com/c/watches-men-s-accessories/-/N-5xu2g#?lnk=ct_menu_01_71&intc=1865087|null
4y7p2,Target / accessories / women's accessories / handbags / clutches & evening bags,69,2,http://www.target.com/c/clutches-evening-bags-handbags-women-s-accessories/-/N-4y7p2#?lnk=lnav_shop categories_3
4y7p4,Target / accessories / women's accessories / handbags / crossbody bags,191,4,http://www.target.com/c/crossbody-bags-handbags-women-s-accessories/-/N-4y7p4#?lnk=lnav_shop categories_4
4y7oz,Target / accessories / women's accessories / handbags / messenger bags,34,1,http://www.target.com/c/messenger-bags-handbags-women-s-accessories/-/N-4y7oz#?lnk=lnav_shop categories_6
4y7p3,Target / accessories / women's accessories / handbags / satchels,53,1,http://www.target.com/c/satchels-handbags-women-s-accessories/-/N-4y7p3#?lnk=lnav_shop categories_7
4y7oy,Target / accessories / women's accessories / handbags / weekender bags,40,1,http://www.target.com/c/weekender-bags-handbags-women-s-accessories/-/N-4y7oy#?lnk=lnav_shop categories_10
558md,Target / accessories / women's accessories / jewelry / body jewelry,324,6,http://www.target.com/c/body-jewelry-women-s-accessories/-/N-558md#?lnk=lnav_shop%20categories_8&intc=2793001%7Cnull
5xtbl,Target / accessories / women's accessories / jewelry / bracelets,1310,22,http://www.target.com/c/bracelets-jewelry-women-s-accessories/-/N-5xtbl#?lnk=lnav_shop%20categories_9&intc=2793001%7Cnull
56c9g,Target / accessories / women's accessories / jewelry / charms,47,1,http://www.target.com/c/charms-jewelry-women-s-accessories/-/N-56c9g#?lnk=lnav_shop%20categories_4&intc=2793001%7Cnull
5xtbi,Target / accessories / women's accessories / jewelry / earrings,4047,68,http://www.target.com/c/earrings-jewelry-women-s-accessories/-/N-5xtbi#?lnk=lnav_shop%20categories_12&intc=2793001%7Cnull
4ykdw,Target / accessories / women's accessories / jewelry / gemstone jewelry,6306,106,http://www.target.com/c/gemstone-jewelry-women-s-accessories/-/N-4ykdw#?lnk=lnav_shop%20categories_6&intc=2793001%7Cnull
5xtbh,Target / accessories / women's accessories / jewelry / jewelry cleaning,26,1,http://www.target.com/c/jewelry-cleaning-women-s-accessories/-/N-5xtbh#?lnk=lnav_shop%20categories_13&intc=2793001%7Cnull
4yqqe,Target / accessories / women's accessories / jewelry / rings,3208,54,http://www.target.com/c/rings-jewelry-women-s-accessories/-/N-4yqqe#?lnk=lnav_shop%20categories_2&intc=2793001%7Cnull
4ykdx,Target / accessories / women's accessories / jewelry / sterling silver jewelry,6461,108,http://www.target.com/c/sterling-silver-jewelry-women-s-accessories/-/N-4ykdx#?lnk=lnav_shop%20categories_5&intc=2793001%7Cnull
56ffq,Target / accessories / women's accessories / sunglasses,508,9,http://www.target.com/c/sunglasses-women-s-accessories/-/N-56ffq#?lnk=ct_menu_01_63&intc=1865087|null
5xtbb,Target / accessories / women's accessories / wallets & keychains,87,2,http://www.target.com/c/wallets-keychains-women-s-accessories/-/N-5xtbb#?lnk=ct_menu_01_64&intc=1865087|null
5xtba,Target / accessories / women's accessories / watches,1765,30,http://www.target.com/c/watches-women-s-accessories/-/N-5xtba#?lnk=ct_menu_01_65&intc=1865087|null
5xtji,Target / baby / bath & potty / bath safety,21,1,http://www.target.com/c/bath-safety-potty-baby/-/N-5xtji#?lnk=lnav_shop%20categories_2&intc=2736008%7Cnull
5xtjh,Target / baby / bath & potty / bath toys,105,2,http://www.target.com/c/bath-toys-potty-baby/-/N-5xtjh#?lnk=lnav_shop%20categories_3&intc=2736008%7Cnull
5xtjg,Target / baby / bath & potty / bath tubs & seats,39,1,http://www.target.com/c/bath-tubs-seats-potty-baby/-/N-5xtjg#?lnk=lnav_shop%20categories_4&intc=2736008%7Cnull
5xtjf,Target / baby / bath & potty / gift sets,17,1,http://www.target.com/c/gift-sets-bath-potty-baby/-/N-5xtjf#?lnk=lnav_shop%20categories_5&intc=2736008%7Cnull
5xtl2,Target / baby / bath & potty / potty training / step stools,11,1,http://www.target.com/c/step-stools-potty-training-bath/-/N-5xtl2#?lnk=lnav_shop categories_2
5xtl1,Target / baby / bath & potty / potty training / training seats,13,1,http://www.target.com/c/training-seats-potty-bath/-/N-5xtl1#?lnk=lnav_shop categories_3
5xtje,Target / baby / bath & potty / robes,1,1,http://www.target.com/c/robes-bath-potty-baby/-/N-5xtje#?lnk=lnav_shop%20categories_6&intc=2736008%7Cnull
5a1vt,Target / baby / car seats / car seat accessories,165,3,http://www.target.com/c/car-seat-accessories-seats-baby/-/N-5a1vt#?lnk=lnav_shop%20categories_6&intc=2781501%7Cnull
5q0ex,Target / baby / car seats / convertible car seats,59,1,http://www.target.com/c/convertible-car-seats-baby/-/N-5q0ex#?lnk=lnav_shop%20categories_2&intc=2781501%7Cnull
54x8v,Target / baby / car seats / premium car seats,52,1,http://www.target.com/c/premium-car-seats-baby/-/N-54x8v#?lnk=lnav_shop%20categories_5&intc=2781501%7Cnull
5xtjs,Target / baby / gear & activity / baby toys / soothers,27,1,http://www.target.com/c/soothers-baby-toys-gear-activity/-/N-5xtjs#?lnk=lnav_shop%20baby%20health_5&intc=754609%7Cnull
5xtjx,Target / baby / gear & activity / baby toys / stroller toys,27,1,http://www.target.com/c/stroller-toys-baby-gear-activity/-/N-5xtjx#?lnk=secondary_nav_section_0_link_7
5xtjp,Target / baby / gear & activity / bouncers & rockers,72,2,http://www.target.com/c/bouncers-rockers-gear-activity-baby/-/N-5xtjp#?lnk=secondary_nav_section_0_link_1
5xtg7,Target / baby / gear & activity / playards,74,2,http://www.target.com/c/playards-gear-activity-baby/-/N-5xtg7#?lnk=secondary_nav_section_0_link_5
5xtjq,Target / baby / gear & activity / swings,45,1,http://www.target.com/c/swings-gear-activity-baby/-/N-5xtjq#?lnk=secondary_nav_section_0_link_3
