category id,url,name,Full Name,items,Pages
629c572c1383,https://www.dollartree.com/toys/craft-ideas/St-Patrick-s-Day-Crafts/629c572c1383/index.cat,St. Patrick's Day Crafts,Home  /  Party Supplies  /  Wedding Ideas  /  St. Patrick's Day Crafts,1,1
629c572c1310,https://www.dollartree.com/toys/craft-ideas/Nail-Ideas/629c572c1310/index.cat,Nail Ideas,Home  /  Party Supplies  /  Wedding Ideas  /  Nail Ideas,1,1
629c572c1383,https://www.dollartree.com/toys/craft-ideas/St-Patrick-s-Day-Crafts/629c572c1383/index.cat,St. Patrick's Day Crafts,Home  /  Health & Beauty  /  Care Package Ideas  /  St. Patrick's Day Crafts,1,1
629c572c1310,https://www.dollartree.com/toys/craft-ideas/Nail-Ideas/629c572c1310/index.cat,Nail Ideas,Home  /  Health & Beauty  /  Care Package Ideas  /  Nail Ideas,1,1
629c572c1383,https://www.dollartree.com/toys/craft-ideas/St-Patrick-s-Day-Crafts/629c572c1383/index.cat,St. Patrick's Day Crafts,Home  /  Toys & Crafts  /  Craft Ideas  /  St. Patrick's Day Crafts,1,1
629c572c1310,https://www.dollartree.com/toys/craft-ideas/Nail-Ideas/629c572c1310/index.cat,Nail Ideas,Home  /  Toys & Crafts  /  Craft Ideas  /  Nail Ideas,1,1
591c608c608,https://www.dollartree.com/health-beauty/family-planning/591c608c608/index.cat,Family Planning,Home  /  Health & Beauty  /  Family Planning,2,1
574c577c1380,https://www.dollartree.com/party-supplies/birthday/Candles/574c577c1380/index.cat,Candles,Home  /  Party Supplies  /  Birthday  /  Candles,2,1
629c572c1386,https://www.dollartree.com/toys/craft-ideas/Patriotic-Crafts/629c572c1386/index.cat,Patriotic Crafts,Home  /  Party Supplies  /  Wedding Ideas  /  Patriotic Crafts,2,1
629c572c1386,https://www.dollartree.com/toys/craft-ideas/Patriotic-Crafts/629c572c1386/index.cat,Patriotic Crafts,Home  /  Health & Beauty  /  Care Package Ideas  /  Patriotic Crafts,2,1
629c572c1386,https://www.dollartree.com/toys/craft-ideas/Patriotic-Crafts/629c572c1386/index.cat,Patriotic Crafts,Home  /  Toys & Crafts  /  Craft Ideas  /  Patriotic Crafts,2,1
1155c1126c1133,https://www.dollartree.com/Xtreme-Values-New-Arrivals/Pick-Pack-Smaller-Quantities/Seasonal-Holidays/1155c1126c1133/index.cat,Seasonal & Holidays,Home  /  Xtreme Values & New Arrivals  /  Pick & Pack - Smaller Quantities  /  Seasonal & Holidays,2,1
574c1379c1379,https://www.dollartree.com/party-supplies/White-Circles/574c1379c1379/index.cat,White Circles,Home  /  Party Supplies  /  White Circles,3,1
629c637c637,https://www.dollartree.com/toys/musical-instruments/629c637c637/index.cat,Musical Instruments,Home  /  Toys & Crafts  /  Musical Instruments,3,1
591c606c1358,https://www.dollartree.com/health-beauty/clothing-accessories/Hats-and-Scarfs/591c606c1358/index.cat,Hats and Scarfs,Home  /  Household  /  Clothing & Accessories  /  Hats and Scarfs,3,1
